Mole_index,Method_index,Peak_time,Area,Height,Smiles,Name,CAS,Initial_T,Final_T,Heating_rate,Ret_time
1,1,4.19,463608.0,239444.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,40.0,280.0,10.0,0.0
1,10,5.579,539954.0,244874.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,40.0,280.0,10.0,3.0
1,11,5.189,500711.0,254954.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,40.0,280.0,20.0,3.0
1,12,4.978,510290.0,272438.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,40.0,280.0,30.0,3.0
1,13,3.3939999999999997,465344.0,265908.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,10.0,0.0
1,14,3.094,445658.0,271062.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,20.0,0.0
1,15,2.9610000000000003,453964.0,288920.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,30.0,0.0
1,16,3.662,479545.0,269733.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,10.0,1.0
1,17,3.404,377600.0,222719.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,20.0,1.0
1,18,3.2769999999999997,398622.0,237296.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,30.0,1.0
1,19,3.888,413317.0,213295.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,10.0,2.0
1,2,3.5669999999999997,486462.0,294476.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,40.0,280.0,20.0,0.0
1,20,3.7230000000000003,421844.0,238396.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,20.0,2.0
1,21,3.62,423389.0,248878.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,30.0,2.0
1,22,4.079,407502.0,199712.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,10.0,3.0
1,23,4.0,437690.0,229787.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,20.0,3.0
1,24,3.944,458346.0,248746.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,60.0,280.0,30.0,3.0
1,25,2.935,320001.0,200096.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,10.0,0.0
1,26,2.81,351930.0,234219.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,20.0,0.0
1,27,2.759,301002.0,186981.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,30.0,0.0
1,28,3.06,308397.0,181785.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,10.0,1.0
1,29,2.9610000000000003,354777.0,230361.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,20.0,1.0
1,3,3.29,495213.0,312300.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,40.0,280.0,30.0,0.0
1,30,2.903,357384.0,236163.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,30.0,1.0
1,31,3.167,298896.0,162337.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,10.0,2.0
1,32,3.114,327320.0,200703.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,20.0,2.0
1,33,3.072,309589.0,193328.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,30.0,2.0
1,34,3.238,315492.0,184197.0,CC1=CC=CC=C1,Methylbenzene,108-88-3,80.0,280.0,10.0,3.0
